timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum,MG1_q_setpoint_sum,MG2_q_setpoint_sum,MG3_q_setpoint_sum
361,0,be77480f,30109,-280.06078579478276,5.372867271133075,1.8822240081556911,0.0,0.0,1.8822240081556911,2.2605628622972143,0.0,0.0,2.2605628622972143,1.2300804006801698,0.0,0.0,1.2300804006801698,0.849531352519989,-0.2199939489364624,-1.146247684955597
362,0,be77480f,30109,-188.05101992840778,2.38200476282406,0.010561067932578938,0.0,0.0,0.010561067932578938,1.8349041544974551,0.0,0.0,1.8349041544974551,0.5365395403940261,0.0,0.0,0.5365395403940261,0.514096200466156,0.6879088878631592,-0.3607839345932007
363,0,be77480f,30109,-170.92773766822455,1.5823490752826452,0.0,0.6381780178345553,0.0,0.6381780178345553,0.0,0.0,0.0,0.0,0.0,0.9441710574480898,0.0,0.9441710574480898,-1.2392833828926086,-0.03187936544418335,-3.455909013748169
364,0,be77480f,30109,-129.43613527341785,0.43917245880495037,0.0,0.0,0.0,0.0,0.43917245880495037,0.0,0.0,0.43917245880495037,0.0,0.0,0.0,0.0,0.20531851053237915,2.0254375636577606,0.8036468625068665
365,0,be77480f,30109,-127.2332142617359,0.029231329870326395,0.0,0.0,0.0,0.0,0.029231329870326395,0.0,0.0,0.029231329870326395,0.0,0.0,0.0,0.0,1.0043254494667053,1.0205003023147583,-0.875234067440033
366,0,be77480f,30109,-186.70664519182395,0.7991027174694354,0.0,0.0,0.0,0.0,0.7991027174694354,0.0,0.0,0.7991027174694354,0.0,0.0,0.0,0.0,-2.4947813153266907,-0.23560675978660583,-1.1206072568893433
367,0,be77480f,30109,-170.72621862249116,3.3791466545394098,0.7073124205874091,0.0,0.0,0.7073124205874091,1.9959759196899172,0.0,0.0,1.9959759196899172,0.675858314262084,0.0,0.0,0.675858314262084,-1.7520131468772888,-0.06069841980934143,-0.38242244720458984
368,0,be77480f,30109,-182.6063571446535,2.3241705285846876,0.0,0.2778066884181889,0.0,0.2778066884181889,0.0,0.4331687184371221,0.0,0.4331687184371221,0.0,1.6131951217293767,0.0,1.6131951217293767,1.8677356243133545,0.12426638603210449,-1.9814444184303284
369,0,be77480f,30109,-187.75550014287185,3.4946204654816073,1.067096687953338,0.0,0.0,1.067096687953338,1.8204935715328119,0.0,0.0,1.8204935715328119,0.6070302059954573,0.0,0.0,0.6070302059954573,1.0329656600952148,0.04674714803695679,-0.5239575803279877
370,0,be77480f,30109,-1279.523108838126,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-1.2517618238925934,-2.2594873905181885,-0.37372690439224243
