timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum,MG1_q_setpoint_sum,MG2_q_setpoint_sum,MG3_q_setpoint_sum
361,0,b3bcfa02,30100,-159.26389379802623,3.6347252827403094,0.0,1.5060616124488773,0.0,1.5060616124488773,0.0,1.1256200092050073,0.0,1.1256200092050073,0.0,1.003043661086425,0.0,1.003043661086425,-0.49454396963119507,-0.210371196269989,0.3787521421909332
362,0,b3bcfa02,30100,-149.50234856143322,0.03799665343361702,0.0,0.002055447133259225,0.0,0.002055447133259225,0.0,0.0,0.0,0.0,0.0,0.0359412063003578,0.0,0.0359412063003578,-1.5864458680152893,0.3592917323112488,3.2070995569229126
363,0,b3bcfa02,30100,-33.96221048511853,0.24400691672815894,0.0,0.0,0.10265559995706582,0.10265559995706582,0.14135131677109314,0.0,0.0,0.14135131677109314,0.0,0.0,0.0,0.0,0.3061749339103699,1.907492220401764,-0.8490743637084961
364,0,b3bcfa02,30100,-1301.372266205959,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.37879109382629395,0.012406468391418457,-1.376239687204361
365,0,b3bcfa02,30100,-214.28906850205286,2.3850212094052865,0.7054166670832915,0.0,0.0,0.7054166670832915,1.1706748826656979,0.0,0.0,1.1706748826656979,0.5089296596562971,0.0,0.0,0.5089296596562971,0.13249623775482178,-0.5088072419166565,0.5823919177055359
366,0,b3bcfa02,30100,-224.52198254784872,2.322864163017206,0.7420032034965345,0.0,0.0,0.7420032034965345,1.4077327402681927,0.0,0.0,1.4077327402681927,0.17312821925247834,0.0,0.0,0.17312821925247834,-0.7176882028579712,2.2230372428894043,-0.592646598815918
367,0,b3bcfa02,30100,-159.37478065175173,0.14370377839466453,0.0,0.06049982888987693,0.0,0.06049982888987693,0.0,0.0,0.0,0.0,0.0,0.0832039495047876,0.0,0.0832039495047876,0.4808139503002167,0.08234161138534546,0.4624519944190979
368,0,b3bcfa02,30100,-127.25058144845984,2.6827704393500302,0.5531859877647283,0.0,0.0,0.5531859877647283,1.8534956287731807,0.0,0.0,1.8534956287731807,0.2760888228121212,0.0,0.0,0.2760888228121212,-0.038015782833099365,1.008901059627533,-2.6492990851402283
369,0,b3bcfa02,30100,-246.03978928252522,2.086683234263784,0.11115689392817418,0.0,0.0,0.11115689392817418,1.6139998807806915,0.0,0.0,1.6139998807806915,0.3615264595549188,0.0,0.0,0.3615264595549188,-3.109101712703705,0.7473981976509094,-1.3838281035423279
370,0,b3bcfa02,30100,-1260.913577980273,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-2.1867513060569763,-2.7414804100990295,-1.5038151443004608
371,0,b3bcfa02,30100,-1291.1080410648276,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-0.849773108959198,-2.1860275268554688,-0.8637555241584778
