timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum,MG1_q_setpoint_sum,MG2_q_setpoint_sum,MG3_q_setpoint_sum
361,0,7cd227ad,30103,-1339.9200135264546,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-1.6299359798431396,0.3098830580711365,-1.6653095483779907
362,0,7cd227ad,30103,-138.2781976605558,0.8055847027085473,0.0,0.5651242202482579,0.0,0.5651242202482579,0.0,0.0,0.08308422648421242,0.08308422648421242,0.0,0.15737625597607696,0.0,0.15737625597607696,-0.28487491607666016,0.9423530101776123,-0.3075109124183655
363,0,7cd227ad,30103,-144.78692837516374,0.9707923010835118,0.0,0.0,0.0,0.0,0.0,0.5774755604522374,0.0,0.5774755604522374,0.0,0.3933167406312744,0.0,0.3933167406312744,-0.27235573530197144,-1.4179230034351349,-1.340445637702942
364,0,7cd227ad,30103,-179.00177444890141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1692555248737335,-0.3074239492416382,-1.296140193939209
365,0,7cd227ad,30103,-180.26159533525694,0.34351774527958434,0.0,0.0,0.0,0.0,0.34351774527958434,0.0,0.0,0.34351774527958434,0.0,0.0,0.0,0.0,-2.868033766746521,0.745045006275177,-1.1635019779205322
366,0,7cd227ad,30103,-1302.13920229394,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-0.39372342824935913,0.679523229598999,-1.4175212383270264
367,0,7cd227ad,30103,-86.79863470928657,1.0807540442724375,0.0,0.0,0.0,0.0,1.0807540442724375,0.0,0.0,1.0807540442724375,0.0,0.0,0.0,0.0,-2.0188453793525696,-0.5917688608169556,-2.361372649669647
368,0,7cd227ad,30103,-128.5148107367904,0.32123608715237195,0.0,0.20218025216216862,0.0,0.20218025216216862,0.038150552759926404,0.0,0.0,0.038150552759926404,0.0,0.08090528223027693,0.0,0.08090528223027693,-1.3116782903671265,1.773892104625702,-1.1191582679748535
369,0,7cd227ad,30103,-134.8892266529914,0.5142731216114378,0.0,0.2901239214929189,0.0,0.2901239214929189,0.0,0.0,0.0,0.0,0.0,0.2241492001185189,0.0,0.2241492001185189,-3.31438809633255,0.2468045949935913,-2.3090529441833496
370,0,7cd227ad,30103,-302.1550642298603,6.304832292441958,1.6742067541065269,0.0,0.0,1.6742067541065269,3.0750961793083915,0.0,0.0,3.0750961793083915,1.5555293590270387,0.0,0.0,1.5555293590270387,0.9880325198173523,2.0315149426460266,2.3266441822052
371,0,7cd227ad,30103,-1313.0637823417783,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-0.8393783271312714,-2.102453112602234,-2.0316251516342163
372,0,7cd227ad,30103,-104.53362018713933,0.2857198970683108,0.0,0.2857198970683108,0.0,0.2857198970683108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.649850845336914,-0.02131032943725586,0.9017005562782288
373,0,7cd227ad,30103,-134.07543099548474,2.4025830069722556,0.6727089571143241,0.0,0.0,0.6727089571143241,1.677177859749104,0.0,0.0,1.677177859749104,0.052696190108827645,0.0,0.0,0.052696190108827645,0.16336113214492798,0.1692885160446167,-1.8895212411880493
374,0,7cd227ad,30103,-154.62483263767191,0.4889983151171877,0.0,0.0,0.0,0.0,0.0,0.1636442812372071,0.0,0.1636442812372071,0.0,0.32535403387998063,0.0,0.32535403387998063,0.6078700423240662,-2.5513423085212708,-0.08801394701004028
375,0,7cd227ad,30103,-218.77688567622351,4.300777530300218,1.0955439495110795,0.0,0.0,1.0955439495110795,2.544705110985483,0.0,0.0,2.544705110985483,0.6605284698036558,0.0,0.0,0.6605284698036558,0.08317303657531738,2.4406718015670776,-2.5332412719726562
376,0,7cd227ad,30103,-85.87569560645102,0.13251012226003256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13251012226003256,0.0,0.13251012226003256,-1.2234620451927185,-1.0144424438476562,-1.5503530502319336
377,0,7cd227ad,30103,-48.96649755269878,0.17190226475953319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17190226475953319,0.0,0.17190226475953319,1.1846372485160828,-0.14155840873718262,-1.241097092628479
378,0,7cd227ad,30103,-239.32433973382632,6.285822940002598,1.5336516943806808,0.0,0.0,1.5336516943806808,3.14412828474065,0.0,0.0,3.14412828474065,1.6080429608812676,0.0,0.0,1.6080429608812676,1.6268810033798218,1.4314683973789215,-0.9952461123466492
379,0,7cd227ad,30103,-89.7623179976794,0.5862755230903918,0.0,0.3314230630379146,0.0,0.3314230630379146,0.0,0.0,0.0,0.0,0.0,0.2548524600524772,0.0,0.2548524600524772,-1.492855429649353,0.631726086139679,-0.17727136611938477
380,0,7cd227ad,30103,-54.93983606863547,0.703733288738657,0.0,0.2676685829140435,0.0,0.2676685829140435,0.0,0.12360283380032289,0.0,0.12360283380032289,0.0,0.31246187202429065,0.0,0.31246187202429065,-1.9872243404388428,-0.37171149253845215,-0.6415945291519165
381,0,7cd227ad,30103,-159.36257057914375,7.429664179494468,0.0,1.774810465808427,0.0,1.774810465808427,0.0,2.563802118341246,0.0,2.563802118341246,0.0,2.981298402913862,0.10975319243093296,3.091051595344795,0.24544692039489746,-0.5622997283935547,-2.879424571990967
382,0,7cd227ad,30103,-136.60687733819077,0.4800323868219949,0.0,0.07151010235330646,0.0,0.07151010235330646,0.0,0.0,0.0,0.0,0.0,0.40852228446868843,0.0,0.40852228446868843,-0.07595348358154297,1.2595926523208618,-1.4457027912139893
383,0,7cd227ad,30103,-88.31322557491208,0.9396057112150318,0.022491483367178988,0.0,0.0,0.022491483367178988,0.890073952382689,0.0,0.0,0.890073952382689,0.027040275465163743,0.0,0.0,0.027040275465163743,-0.6153338551521301,-1.5623540580272675,-0.7864739298820496
384,0,7cd227ad,30103,-123.6846123111,0.903077088147715,0.0,0.7017150116848067,0.0,0.7017150116848067,0.0,0.01672076803620215,0.0,0.01672076803620215,0.0,0.18464130842670623,0.0,0.18464130842670623,0.0692298412322998,-2.7260867953300476,1.7877798080444336
505,1,7cd227ad,30103,-233.84781430952538,2.8241240112113832,0.0,0.4368387312549985,0.0,0.4368387312549985,0.0,0.7446444610339292,0.0,0.7446444610339292,0.0,1.6426408189224555,0.0,1.6426408189224555,-1.225913643836975,0.8546024560928345,-1.5010313391685486
506,1,7cd227ad,30103,-203.64864296294684,0.8739187603052961,0.0,0.0,0.0,0.0,0.0,0.0,0.10381319569329818,0.10381319569329818,0.0,0.770105564611998,0.0,0.770105564611998,0.7047145962715149,0.9481790065765381,-2.708859920501709
507,1,7cd227ad,30103,-254.46288073491638,7.474145047702693,0.0,1.892746657497921,0.0,1.892746657497921,0.0,2.264647965435692,0.04817339354565192,2.3128213589813438,0.0,3.268577031223429,0.0,3.268577031223429,-0.29860562086105347,1.1206408143043518,-1.9013260006904602
508,1,7cd227ad,30103,-1309.1068135791588,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.719650387763977,-1.2516515851020813,-1.2152377367019653
509,1,7cd227ad,30103,-92.78862668708794,0.07717474582031403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07717474582031403,0.0,0.07717474582031403,-0.40660035610198975,0.9405409693717957,-0.5372889637947083
510,1,7cd227ad,30103,-164.4475132873467,3.4103718948044186,0.722217256219694,0.0,0.0,0.722217256219694,1.839500197716986,0.0,0.0,1.839500197716986,0.8486544408677388,0.0,0.0,0.8486544408677388,0.9401028156280518,1.082619071006775,-0.4758557677268982
511,1,7cd227ad,30103,-95.05497708198344,0.19646823254312773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19646823254312773,0.0,0.19646823254312773,0.228462815284729,0.005534946918487549,-0.7946932911872864
512,1,7cd227ad,30103,-160.87732013515355,1.0693319490022681,0.004019301178311174,0.0,0.0,0.004019301178311174,1.065312647823957,0.0,0.0,1.065312647823957,0.0,0.0,0.0,0.0,-1.749454140663147,0.6028338670730591,-1.7053933441638947
513,1,7cd227ad,30103,-1214.7082174811512,60.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,-0.1374785304069519,-1.652738630771637,0.34031644463539124
514,1,7cd227ad,30103,-214.47351988030096,4.484957493449292,1.4286211246535079,0.0,0.0,1.4286211246535079,2.187440079407076,0.0,0.0,2.187440079407076,0.8688962893887076,0.0,0.0,0.8688962893887076,1.0558268427848816,-2.7582895159721375,-2.185818076133728
515,1,7cd227ad,30103,-128.7358244111512,1.760118575964424,0.0,0.6766213081371334,0.0,0.6766213081371334,0.0,0.02207874869063131,0.11862379860855256,0.14070254729918386,0.0,0.9427947205281066,0.0,0.9427947205281066,-2.6382092237472534,1.2013767957687378,-1.7586454153060913
