timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum,MG1_q_setpoint_sum,MG2_q_setpoint_sum,MG3_q_setpoint_sum
361,0,21d5d5e9,29463,-90.5653814706555,0.611464101407438,0.0,0.0,0.0,0.0,0.611464101407438,0.0,0.0,0.611464101407438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,0,21d5d5e9,29463,-87.91601092819799,0.4789955687566885,0.0,0.0,0.0,0.0,0.4789955687566885,0.0,0.0,0.4789955687566885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,0,21d5d5e9,29463,-88.47282046103923,0.5068360269312546,0.0,0.0,0.0,0.0,0.5068360269312546,0.0,0.0,0.5068360269312546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,0,21d5d5e9,29463,-90.0117438415283,0.5837822256445298,0.0,0.0,0.0,0.0,0.5837822256445298,0.0,0.0,0.5837822256445298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,0,21d5d5e9,29463,-92.39352992376571,0.7028715284674223,0.0,0.0,0.0,0.0,0.7028715284674223,0.0,0.0,0.7028715284674223,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0,21d5d5e9,29463,-96.19878691023955,0.8931343637023061,0.018809744460523525,0.0,0.0,0.018809744460523525,0.8743246192417826,0.0,0.0,0.8743246192417826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,0,21d5d5e9,29463,-102.75518664972174,1.2209543397401155,0.1473920389546981,0.0,0.0,0.1473920389546981,1.0689290488074699,0.0,0.0,1.0689290488074699,0.004633251977947506,0.0,0.0,0.004633251977947506,0.0,0.0,0.0
368,0,21d5d5e9,29463,-107.46996787836636,1.456693421950424,0.2168703531583014,0.0,0.0,0.2168703531583014,1.175944700794318,0.0,0.0,1.175944700794318,0.06387836799780455,0.0,0.0,0.06387836799780455,0.0,0.0,0.0
369,0,21d5d5e9,29463,-111.05846437702613,1.6361182420353468,0.26461507980866417,0.0,0.0,0.26461507980866417,1.2534100021336823,0.0,0.0,1.2534100021336823,0.11809316009300042,0.0,0.0,0.11809316009300042,0.0,0.0,0.0
370,0,21d5d5e9,29463,-114.84922021768932,1.8256560327037625,0.3142891425219676,0.0,0.0,0.3142891425219676,1.336450352563144,0.0,0.0,1.336450352563144,0.174916537618651,0.0,0.0,0.174916537618651,0.0,0.0,0.0
