timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum
361,0,6d2f089b,26907,-90.56538528541584,0.6114641014137459,0.0,0.0,0.0,0.0,0.6114641014137459,0.0,0.0,0.6114641014137459,0.0,0.0,0.0,0.0
362,0,6d2f089b,26907,-87.91601474294258,0.47899556876142113,0.0,0.0,0.0,0.0,0.47899556876142113,0.0,0.0,0.47899556876142113,0.0,0.0,0.0,0.0
363,0,6d2f089b,26907,-88.4728242757764,0.5068360269352452,0.0,0.0,0.0,0.0,0.5068360269352452,0.0,0.0,0.5068360269352452,0.0,0.0,0.0,0.0
364,0,6d2f089b,26907,-90.01174765623742,0.5837822256457146,0.0,0.0,0.0,0.0,0.5837822256457146,0.0,0.0,0.5837822256457146,0.0,0.0,0.0,0.0
365,0,6d2f089b,26907,-92.3935337385074,0.7028715284718647,0.0,0.0,0.0,0.0,0.7028715284718647,0.0,0.0,0.7028715284718647,0.0,0.0,0.0,0.0
366,0,6d2f089b,26907,-96.19879072495507,0.8931343637041318,0.01880974446093675,0.0,0.0,0.01880974446093675,0.874324619243195,0.0,0.0,0.874324619243195,0.0,0.0,0.0,0.0
367,0,6d2f089b,26907,-102.75519046446249,1.2209543397444642,0.14739203895582453,0.0,0.0,0.14739203895582453,1.0689290488100844,0.0,0.0,1.0689290488100844,0.004633251978555242,0.0,0.0,0.004633251978555242
368,0,6d2f089b,26907,-107.46997169325267,1.456693421969329,0.21687035316285508,0.0,0.0,0.21687035316285508,1.175944700803061,0.0,0.0,1.175944700803061,0.06387836800341296,0.0,0.0,0.06387836800341296
369,0,6d2f089b,26907,-111.05846819197448,1.6361182420604559,0.2646150798146243,0.0,0.0,0.2646150798146243,1.2534100021451995,0.0,0.0,1.2534100021451995,0.11809316010063209,0.0,0.0,0.11809316010063209
370,0,6d2f089b,26907,-114.84922403249661,1.8256560327147644,0.31428914252452467,0.0,0.0,0.31428914252452467,1.3364503525684504,0.0,0.0,1.3364503525684504,0.17491653762178938,0.0,0.0,0.17491653762178938
371,0,6d2f089b,26907,-115.61586786941157,1.8639882223163713,0.3225644668372285,0.0,0.0,0.3225644668372285,1.3582084105342886,0.0,0.0,1.3582084105342886,0.18321534494485414,0.0,0.0,0.18321534494485414
372,0,6d2f089b,26907,-112.5069740055302,1.708543517572674,0.2815605313800362,0.0,0.0,0.2815605313800362,1.298353416606134,0.0,0.0,1.298353416606134,0.12862956958650384,0.0,0.0,0.12862956958650384
373,0,6d2f089b,26907,-105.131305098875,1.339760106463594,0.17759644585269907,0.0,0.0,0.17759644585269907,1.151720813534206,0.0,0.0,1.151720813534206,0.010442847076688855,0.0,0.0,0.010442847076688855
374,0,6d2f089b,26907,-97.80673963717403,0.973531796179,0.03107116664256071,0.0,0.0,0.03107116664256071,0.9424606295364393,0.0,0.0,0.9424606295364393,0.0,0.0,0.0,0.0
375,0,6d2f089b,26907,-92.36848656840067,0.7016191646525676,0.0,0.0,0.0,0.0,0.7016191646525676,0.0,0.0,0.7016191646525676,0.0,0.0,0.0,0.0
376,0,6d2f089b,26907,-92.27517527648868,0.6969535890311618,0.0,0.0,0.0,0.0,0.6969535890311618,0.0,0.0,0.6969535890311618,0.0,0.0,0.0,0.0
377,0,6d2f089b,26907,-96.04300861512661,0.8853452700054045,0.00991591524022839,0.0,0.0,0.00991591524022839,0.8754293547651761,0.0,0.0,0.8754293547651761,0.0,0.0,0.0,0.0
378,0,6d2f089b,26907,-99.0235333449675,1.0343715027673388,0.05925928767904165,0.0,0.0,0.05925928767904165,0.9751122150882972,0.0,0.0,0.9751122150882972,0.0,0.0,0.0,0.0
379,0,6d2f089b,26907,-104.33129277693885,1.299759471285003,0.14938676483666358,0.0,0.0,0.14938676483666358,1.1175787535715138,0.0,0.0,1.1175787535715138,0.032793952876825516,0.0,0.0,0.032793952876825516
380,0,6d2f089b,26907,-106.95886369493088,1.4311379869247303,0.17953239327821957,0.0,0.0,0.17953239327821957,1.1739284491831379,0.0,0.0,1.1739284491831379,0.07767714446337282,0.0,0.0,0.07767714446337282
381,0,6d2f089b,26907,-110.48128366271824,1.607259002129406,0.22056558820687,0.0,0.0,0.22056558820687,1.2489967101729447,0.0,0.0,1.2489967101729447,0.1376967037495913,0.0,0.0,0.1376967037495913
382,0,6d2f089b,26907,-113.65742396613484,1.7660660379136865,0.2628442197165337,0.0,0.0,0.2628442197165337,1.3042843431702338,0.0,0.0,1.3042843431702338,0.19893747502691905,0.0,0.0,0.19893747502691905
383,0,6d2f089b,26907,-106.15728415855446,1.3910590197232156,0.17049067769205606,0.0,0.0,0.17049067769205606,1.160060259223512,0.0,0.0,1.160060259223512,0.06050808280764741,0.0,0.0,0.06050808280764741
384,0,6d2f089b,26907,-100.41463283243954,1.10392644459325,0.08290501193633326,0.0,0.0,0.08290501193633326,1.0210214326569167,0.0,0.0,1.0210214326569167,0.0,0.0,0.0,0.0
