timestep,episode,env_instance,pid,reward_sum,safety_sum,MG1_overvoltage,MG1_undervoltage,MG1_overloading,MG1_safety_sum,MG2_overvoltage,MG2_undervoltage,MG2_overloading,MG2_safety_sum,MG3_overvoltage,MG3_undervoltage,MG3_overloading,MG3_safety_sum,MG1_q_setpoint_sum,MG2_q_setpoint_sum,MG3_q_setpoint_sum
361,0,a6e7367f,29095,-90.56538528541584,0.6114641014137459,0.0,0.0,0.0,0.0,0.6114641014137459,0.0,0.0,0.6114641014137459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,0,a6e7367f,29095,-87.91601474294258,0.47899556876142113,0.0,0.0,0.0,0.0,0.47899556876142113,0.0,0.0,0.47899556876142113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,0,a6e7367f,29095,-88.4728242757764,0.5068360269352452,0.0,0.0,0.0,0.0,0.5068360269352452,0.0,0.0,0.5068360269352452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,0,a6e7367f,29095,-90.01174765623742,0.5837822256457146,0.0,0.0,0.0,0.0,0.5837822256457146,0.0,0.0,0.5837822256457146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,0,a6e7367f,29095,-92.3935337385074,0.7028715284718647,0.0,0.0,0.0,0.0,0.7028715284718647,0.0,0.0,0.7028715284718647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
366,0,a6e7367f,29095,-96.19879072495507,0.8931343637041318,0.01880974446093675,0.0,0.0,0.01880974446093675,0.874324619243195,0.0,0.0,0.874324619243195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,0,a6e7367f,29095,-102.75519046446249,1.2209543397444642,0.14739203895582453,0.0,0.0,0.14739203895582453,1.0689290488100844,0.0,0.0,1.0689290488100844,0.004633251978555242,0.0,0.0,0.004633251978555242,0.0,0.0,0.0
368,0,a6e7367f,29095,-107.46997169325267,1.456693421969329,0.21687035316285508,0.0,0.0,0.21687035316285508,1.175944700803061,0.0,0.0,1.175944700803061,0.06387836800341296,0.0,0.0,0.06387836800341296,0.0,0.0,0.0
369,0,a6e7367f,29095,-111.05846819197448,1.6361182420604559,0.2646150798146243,0.0,0.0,0.2646150798146243,1.2534100021451995,0.0,0.0,1.2534100021451995,0.11809316010063209,0.0,0.0,0.11809316010063209,0.0,0.0,0.0
370,0,a6e7367f,29095,-114.84922403249661,1.8256560327147644,0.31428914252452467,0.0,0.0,0.31428914252452467,1.3364503525684504,0.0,0.0,1.3364503525684504,0.17491653762178938,0.0,0.0,0.17491653762178938,0.0,0.0,0.0
371,0,a6e7367f,29095,-115.61586786941157,1.8639882223163713,0.3225644668372285,0.0,0.0,0.3225644668372285,1.3582084105342886,0.0,0.0,1.3582084105342886,0.18321534494485414,0.0,0.0,0.18321534494485414,0.0,0.0,0.0
